"Eh bien !","Je m’y rendrai, toujours exempt d’effroi."
"Vous me quittez, traître ?","Vous me fuyez ?"
"Apprêtez-vous, mon maître.","Quoi, lâche !"
"Quoi, lâche !","À toutes deux avoir ravi l’honneur ?"
"Hé !","Vous en avez tant, rendez-le-leur."
"Vous en avez tant, rendez-le-leur.","Voyez, il nous contait les plus belles paroles."
"Voyez, il nous contait les plus belles paroles.","Je vous avais bien dit son humeur, pauvres folles ;  mais je n’étais qu’un traître, un méchant, un menteur."
"Je vous avais bien dit son humeur, pauvres folles ;  mais je n’étais qu’un traître, un méchant, un menteur.","il vous en cuit pourtant."
"il vous en cuit pourtant.","Réponds-nous donc, trompeur."
"Sans m’arrêter ici, quels desseins sont les vôtres ?","Tu devais m’épouser !"
"Tu devais m’épouser !","Il l’a bien dit à d’autres."
"Il l’a bien dit à d’autres.","Tu m’as promis aussi ?"
"Mais je ne le puis plus,  et vos emportements sont ici superflus.","je ne puis être à vous sans lui faire une injure ;  voyez de plus l’horreur d’une telle aventure,  et que le ciel aigri de l’amour des deux soeurs,  exercera sur moi les dernières rigueurs."
"La bonne âme !","Il faut donc, dans un profond silence,  étouffer entre nous cet amour qui l’offense,  et par un repentir éteindre dans nos coeurs,  l’infâme souvenir de ces noires ardeurs."
"Il faut donc, dans un profond silence,  étouffer entre nous cet amour qui l’offense,  et par un repentir éteindre dans nos coeurs,  l’infâme souvenir de ces noires ardeurs.","mais puisque de ces maux je suis la seule cause,  il est juste pour vous de faire quelque chose ;  j’ai du regret de voir que ma brutalité  vous ait fait consentir à cette lâcheté,  et je veux vous donner pour tant de bienveillance  une somme d’argent."
"Qu’en dites-vous vous-même ?","Je l’aimais."
"Croyez  que ces trois cents ducats vous seront bien payés,  car il reçoit bientôt une lettre de change,  en bel et bon argent visible comme un ange.","Mais parlez-vous, avec sincérité ?"
"Mais parlez-vous, avec sincérité ?","pouvons-nous nous fier ?"
"pouvons-nous nous fier ?","C’est une vérité,  je veux vous les donner."
"N’y manquez pas au moins.","Il n’a garde, vraiment."
"Mais quoi !","Tu prétends donc jaser incessamment,  et sans examiner que ton caquet m’offense,  tu ne peux un moment te résoudre au silence ?"
"Mais est-ce sans raison ?","Mais sais-tu ce qu’on fait,  quand on a le dessein de punir un valet,  qui ne se peut tenir, quelque chose qu’on dise,  qu’il n’y mette son nez et qu’il n’en moralise ?"
"Mais sais-tu ce qu’on fait,  quand on a le dessein de punir un valet,  qui ne se peut tenir, quelque chose qu’on dise,  qu’il n’y mette son nez et qu’il n’en moralise ?","un maître au même instant, avec un bon bâton,  lui doit fermer la bouche et s’en faire raison :  voilà le sort qu’un jour ta langue te prépare."
"Il faut qu’ouvertement enfin je me déclare.","Qui se tairait, en voyant ces beaux tours, que sans crainte du ciel vous faites tous les jours ?"
"Qui se tairait, en voyant ces beaux tours, que sans crainte du ciel vous faites tous les jours ?","Je fais ce que je veux, dois-je t’en rendre compte ?"
"si je commets un crime, en portes-tu la honte ?","ne m’en parle donc plus, ou tes rares avis  de cent coups de bâton pourraient être punis."
"étant votre parent, je vous offre un asile.","Ce soin m’oblige fort, mais il est inutile :  mes plus grands ennemis ne m’ont jamais fait peur,  et vous voyez un front exempt de la terreur."
"Ce soin m’oblige fort, mais il est inutile :  mes plus grands ennemis ne m’ont jamais fait peur,  et vous voyez un front exempt de la terreur.","pour vous, si vous m’aimez d’une amitié fidèle,  j’attends dans ce péril l’effet de votre zèle ;  ayons même fortune, et s’il nous faut périr,  ne nous démentons point jusqu’au dernier soupir."
"la terre ni le ciel ne l’intimident pas,  et loin de fuir sa perte il y court à grands pas !","songez qu’il est un temps où le crime prospère,  mais qu’il en est un autre ou le ciel en colère,  irrité des refus qu’on fait à ses bontés,  se venge tôt ou tard de tant d’iniquité."
"Quoi donc, don juan, se piquant de sagesse,  à la correction s’attachera sans cesse,  et gênant les esprits par une vaine peur,  il voudra conformer chacun à son humeur ?","songez que la nature est tout ce qui nous mène,  que malgré la raison son pouvoir nous entraîne,  que le crime n’est pas si grand qu’on nous le fait,  que tous ces châtiments dont vous prêchez l’effet  ne sont bons à prôner qu’à des âmes timides,  que l’on ne doit souffrir rien que ses sens pour guides,  qu’il les faut assouvir jusqu’aux moindres désirs,  et n’avoir point d’égard qu’à ses propres plaisirs."
"songez que la nature est tout ce qui nous mène,  que malgré la raison son pouvoir nous entraîne,  que le crime n’est pas si grand qu’on nous le fait,  que tous ces châtiments dont vous prêchez l’effet  ne sont bons à prôner qu’à des âmes timides,  que l’on ne doit souffrir rien que ses sens pour guides,  qu’il les faut assouvir jusqu’aux moindres désirs,  et n’avoir point d’égard qu’à ses propres plaisirs.","Je sais qu’il est des temps où l’âge nous convie  de prendre avec honneur les plaisirs de la vie,  mais passer à l’excès de la brutalité  et n’avoir que les sens pour toute déité,  est-il rien ici bas qui soit plus condamnable ?"
"ah !","Craignez que du ciel le courroux redoutable."
"vous riez.","Doutez-vous du pouvoir de nos dieux ?"
"Hé !","Pour voir ce qu’ils sont, il ne faut que des yeux."
"Pour voir ce qu’ils sont, il ne faut que des yeux.","l’adroite politique en masqua le caprice,  la faiblesse de l’homme appuya l’artifice,  et sa timidité, s’en faisant un devoir,  sans aucune raison forgea ce grand pouvoir."
"l’adroite politique en masqua le caprice,  la faiblesse de l’homme appuya l’artifice,  et sa timidité, s’en faisant un devoir,  sans aucune raison forgea ce grand pouvoir.","Si vous considérez l’ordre de la nature,  vous verriez leur pouvoir dans chaque créature."
"Si vous considérez l’ordre de la nature,  vous verriez leur pouvoir dans chaque créature.","cet accord merveilleux dans les quatre éléments  doit confondre l’erreur de vos comportements ;  la contrariété, qui fait leur concordance,  fait assez admirer leur suprême puissance,  et ce grand entretien dans les quatre saisons,  pour prouver leurs auteurs sont de bonnes raisons ;  ce composé de tout formé sur leur image,  ce petit monde entier, ce surprenant ouvrage."
"cet accord merveilleux dans les quatre éléments  doit confondre l’erreur de vos comportements ;  la contrariété, qui fait leur concordance,  fait assez admirer leur suprême puissance,  et ce grand entretien dans les quatre saisons,  pour prouver leurs auteurs sont de bonnes raisons ;  ce composé de tout formé sur leur image,  ce petit monde entier, ce surprenant ouvrage.","l’homme en ses fonctions ne porte-t-il pas de quoi  désabuser l’esprit de qui manque de foi ?"
"l’homme en ses fonctions ne porte-t-il pas de quoi  désabuser l’esprit de qui manque de foi ?","mais je connais qu’en vain je m’attache à vous dire  qu’il n’est rien ici bas qui par eux ne respire ;  il vaut mieux vous laisser dans votre aveuglement."
"Don juan, vous deviez en agir autrement,  et devant lui du moins il fallait un peu feindre.","on doit tout ménager quand on a tout à craindre,  sa maison est pour nous un lieu de sûreté,  nous y pouvions rester en toute liberté ;  mais qui sait à présent, vous ayant vu le même,  s’il voudrait nous l’offrir dans un péril extrême ?"
"on doit tout ménager quand on a tout à craindre,  sa maison est pour nous un lieu de sûreté,  nous y pouvions rester en toute liberté ;  mais qui sait à présent, vous ayant vu le même,  s’il voudrait nous l’offrir dans un péril extrême ?","on peut facilement faire l’homme de bien,  dire que l’on croit tout encor qu’il n’en soit rien,  et voilant ses discours d’une belle apparence,  se réserver en soi ce que le coeur en pense ;  c’était là de quel air il lui fallait parler,  et ce peu de contrainte eût pu le rappeler."
"on peut facilement faire l’homme de bien,  dire que l’on croit tout encor qu’il n’en soit rien,  et voilant ses discours d’une belle apparence,  se réserver en soi ce que le coeur en pense ;  c’était là de quel air il lui fallait parler,  et ce peu de contrainte eût pu le rappeler.","Don lope, je ne puis approuver ces maximes,  je nomme des plaisirs ce que vous nommez crimes,  tous ces déguisements ont trop de lâcheté,  je dis tout et fais tout avec impunité,  et si je ne savais quel est votre courage,  je douterais de vous, entendant ce langage."
"vous savez qu’il se plaît fort à la solitude  et que dans ces endroits il s’attache à l’étude.","surpris de nous trouver l’un et l’autre en ces lieux,  il nous a fait paraître un désir curieux  de savoir quel dessein nous y pouvait conduire,  et nous n’avons pas fait scrupule de lui dire ;  mais comme en cet endroit vous ne vous rendiez pas,  son avis nous a fait retourner sur nos pas."
"Je viens de voir certaine ombre qui passe.","Poltron !"
"Poltron !","Te tairas-tu ?"
"Mon maître,  et vite, sauvons-nous, nous voilà pris !","Ah , traître !"
"Ah , traître !","Donnons, et que chacun fasse ici son devoir."
"Donnons, et que chacun fasse ici son devoir.","compagnons, mort ou vif, il nous les faut avoir."
"compagnons, mort ou vif, il nous les faut avoir.","Je saurais réprimer une telle insolence."
"Courage, mes amis.","Vous faites résistance !"
"Vous faites résistance !","il faut lâcher le pied, traîtres !"
"Mais sans tarder au moins.","Je ne m’arrête pas."
"Ô l’homme de courage !","viendras-tu ?"
"Me voilà.","Tu devais faire rage !"
"cependant, dans le temps qu’il en était saison,  tu me quittes, carrille, et fuis en vrai poltron !","as-tu pour te défendre une raison valable ?"
"as-tu pour te défendre une raison valable ?","Sans la peur de la mort, j'étais pire qu'un diable ; mais sur ce pas, faisant réflexion : j'ai cru qu'il valait mieux être un peu plus poltron."
"Sans la peur de la mort, j'étais pire qu'un diable ; mais sur ce pas, faisant réflexion : j'ai cru qu'il valait mieux être un peu plus poltron.","peste !"
"peste !","C’est pour longtemps qu’on fait cette folie."
"C’est pour longtemps qu’on fait cette folie.","Lâche, dans les combats perd-on toujours la vie ?"
"Ah, monsieur !","Tôt ou tard on ne peut l’éviter,  et c’est être bien fou de le vouloir tenter."
"Tôt ou tard on ne peut l’éviter,  et c’est être bien fou de le vouloir tenter.","Mais sans coeur j’étais pris, il eût fallu me rendre."
"Quoi donc.","Lisez plutôt, ma foi je n’y mets rien."
"Non, de ma part va lui faire un message,  puisque j’ai résolu qu’un compliment engage  ce digne commandeur à souper avec moi.","Bon, prier une pierre à souper avec soi !"
"Bon, prier une pierre à souper avec soi !","rêvez-vous ?"
"eh morbleu !","Cette pierre a-t-elle le pouvoir  de parler, ni d’ouïr, d’aller, ni de mouvoir ?"
"Cette pierre a-t-elle le pouvoir  de parler, ni d’ouïr, d’aller, ni de mouvoir ?","où diantre prenez-vous un si plaisant caprice ?"
"où diantre prenez-vous un si plaisant caprice ?","Mais, quand j’ai commandé, je veux qu’on m’obéisse,  ou les coups de bâton."
"Mais, quand j’ai commandé, je veux qu’on m’obéisse,  ou les coups de bâton.","Peste, je vous entends,  mais, ma foi, vous raillez ou bien je perds le sens :  une pierre !"
"Songez si la chose est plausible.","Je veux croire avec toi qu’elle n’est pas possible,  mais va."
"Je veux croire avec toi qu’elle n’est pas possible,  mais va.","C’est être fou."
"Quoi donc, tu n’iras pas ?","te moques-tu de moi ?"
"Non, j’y cours à grands pas.","j’en rirai comme il faut."
"c’est à vous qui priez de la bien recevoir,  car je m’exempterai, si je puis, de la voir.","Va, carrille, ton coeur n’est ni ferme ni stable,  pour croire ton rapport fidèle et véritable,  et je n’impute rien de ce plaisant récit  qu’à la sotte faiblesse où tombe ton esprit."
"Va, carrille, ton coeur n’est ni ferme ni stable,  pour croire ton rapport fidèle et véritable,  et je n’impute rien de ce plaisant récit  qu’à la sotte faiblesse où tombe ton esprit.","qui peut imaginer qu’une vaine statue  puisse mouvoir la tête ou dessiller la vue ?"
"qui peut imaginer qu’une vaine statue  puisse mouvoir la tête ou dessiller la vue ?","pour moi, je ne vois point de raisons pour prouver,  ni par qui, ni comment cela peut arriver ;  je n’y trouve pas même une ombre d’apparence,  et chez toi c’était peur ou bien extravagance."
"pour moi, je ne vois point de raisons pour prouver,  ni par qui, ni comment cela peut arriver ;  je n’y trouve pas même une ombre d’apparence,  et chez toi c’était peur ou bien extravagance.","Peut-être la statue a le démon au corps, ou l'on l'a fait agir par d'inconnus ressorts, mais voyez-la, et vous pourrez connaître  si je rêvais alors, ou si cela peut être."
"peste !","J’ai des bons yeux et quoique j’aie peur,  je ne me trompe point."
"Eh bien !","Que dites-vous d’une telle aventure ?"
"Que dites-vous d’une telle aventure ?","Pour moi, je n’en crois rien."
"C’est la vérité pure.","tantôt, sur le rapport que carrille en a fait,  j’ai douté comme vous, mais j’en ai vu l’effet."
"Mais en suis-je capable ?","c’est aux faibles esprits à s’en laisser frapper,  la crainte, en cet état, les peut faire tromper,  mais moi que rien n’étonne, on ne peut pas me dire  que la peur sur mes sens avait pris de l’emprise,  j’étais toujours le même, et sans étonnement  j’ai reçu sa réponse et vu son mouvement."
"Il n’en faut point douter, messieurs, la chose est telle.","Que nous importe-t-il qu’elle le soit ou non ?"
"la peste !","Il ne faut pas s’endormir sur ce point,  vous savez que tantôt sans l’effort de courage."
"Il ne faut pas s’endormir sur ce point,  vous savez que tantôt sans l’effort de courage.","Va, va, ce bras partout a le même avantage."
"Va, va, ce bras partout a le même avantage.","Tant mieux : mais ce bonheur durera-t-il toujours ?"
"outre que les archers savent si bien surprendre,  qu’ils donnent rarement le temps de se défendre,  par mille tours rusés, on tombe dans leurs mains.","La défiance ici peut rompre leurs desseins,  tout nous étant suspect, nous n’avons rien à plaindre."
"La défiance ici peut rompre leurs desseins,  tout nous étant suspect, nous n’avons rien à plaindre.","Vous savez qu’en ce cas, je suis le plus à craindre,  et si par un malheur."
"quelle douceur pour moi de voir une bergère  se rendre au même instant que je tâche à lui plaire,  et, joignant le respect à la simplicité,  me laisser un champ libre à ma témérité.","Mais l’amour veut pourtant un peu de résistance."
"Mais l’amour veut pourtant un peu de résistance.","Mais l’amour est tout pur parmi cette innocence."
"Mais l’amour est tout pur parmi cette innocence.","La fierté, don juan, augmente le désir,  et qui la peut dompter en a plus de plaisir ;  il est charmant de vaincre une beauté sévère."
"La fierté, don juan, augmente le désir,  et qui la peut dompter en a plus de plaisir ;  il est charmant de vaincre une beauté sévère.","Mais cette résistance est souvent un mystère :  sous le masque trompeur d’une adroite fierté,  on cache les défauts de la fragilité,  l’amour à ces froideurs augmente son estime,  et plus l’amour est grand, moins il connaît le crime."
"les restes, en amour, ont toujours peu d’appâts,  et l’on doit les laisser à de moins délicats.","Je veux que vous trouviez ici quelque avantage  et que l’honneur soit joint aux attraits du visage :  mais quel plaisir a-t-on d’aimer une beauté  dont l’éclat est terni par la stupidité ?"
"Je veux que vous trouviez ici quelque avantage  et que l’honneur soit joint aux attraits du visage :  mais quel plaisir a-t-on d’aimer une beauté  dont l’éclat est terni par la stupidité ?","peut-on trouver du goût à chérir une idole  sans aucun enjouement, sans esprit, sans parole,  et qui, répondant même à vos empressements,  ne saurait exprimer quels sont ses sentiments ?"
"l’amour n’a rien de doux dans l’ardeur qu’il inspire,  si la bouche, don juan, ne prend soin de le dire.","c’est peu que des soupirs, s’ils ne sont animés,  mais quand d’un feu pareil deux coeurs sont enflammés  et que l’esprit seconde une tendance extrême,  il n’est rien à l’égal de ce bonheur suprême."
"c’est peu que des soupirs, s’ils ne sont animés,  mais quand d’un feu pareil deux coeurs sont enflammés  et que l’esprit seconde une tendance extrême,  il n’est rien à l’égal de ce bonheur suprême.","Oui, je sais que l’esprit a de puissants appâts  et qu’en un lieu champêtre on n’en rencontre pas ;  mais aussi la plupart de nos spirituelles,  don lope, ont le malheur de n’être pas fort belles, et quand on leur verrait l’esprit et la beauté,  estimez-vous beaucoup leur sotte vanité,  ces affectations d’un savoir admirable,  dont par de longs discours sans cesse on nous accable,  tous ces raffinements en matière d’amour ?"
"Je suis pour l’un et l’autre,  et tiens son sentiment aussi bon que le vôtre.","en matière d’amour point de réflexion,  donnons-nous tous entiers à notre passion,  et soit qu’une beauté soit facile ou sévère,  spirituelle ou non, il faut se satisfaire ;  c’est ce que nous devons tous les trois observer."
"Je demeurerai les bras croisés ici ?","non, non, songeons à nous !"
"non, non, songeons à nous !","Quelque sot qui s’oublie !"
"Quelque sot qui s’oublie !","Ah, l’excellent morceau !"
"tu t’étrangles !","Chacun doit faire ici son compte,  si je n’y prenais garde, il ne resterait rien,  mais j’en prends par avance et crois faire fort bien."
"Quand on a de la faim, est-ce une chose étrange ?","Tu crèveras."
"Tu crèveras.","Point, point, je sais ce qu’il me faut."
"Point, point, je sais ce qu’il me faut.","Te défendras-tu mieux que tu n’as fait tantôt ?"
"Tu promets tout à table,  mais dans l’occasion.","Ma foi, c’est là le diable."
"à boire !","Il faut toujours faire les fondements."
"Bon, carrille !","Il faut bien vous en croire."
"À boire !","C’est assez."
"Hé !","Que diable, j’y vais."
"Qui frappe de la sorte ?","la peste !"
"la peste !","Ce frappeur n’y va pas de main morte."
"ah, monsieur, là, là, là.","Qu’as-tu donc ?"
"mais voyons ce que c’est.","Ah, ah, c’est l’ombre !"
"Allons la recevoir.","Que ne suis-je bien loin ?"
"Quoi !","Rabattre toujours ces discours ennuyeux !"
"Rabattre toujours ces discours ennuyeux !","pourquoi tant censurer notre façon de vivre ?"
"pourquoi tant censurer notre façon de vivre ?","la nature a marqué le chemin qu’on doit suivre,  elle seule a formé les plaisirs de nos sens,  et c’est sa faute enfin s’ils ne sont innocents."
"Quoi !","Je me priverais des douceurs de la vie !"
"Je me priverais des douceurs de la vie !","non, n’espère jamais que j’aie cette envie ;  la jeunesse est un fruit qui ne se garde pas,  et l’on doit sans remords jouir de ses appâts,  se servir du présent, et sans tant nous contraindre  pour l’avenir."
"non, n’espère jamais que j’aie cette envie ;  la jeunesse est un fruit qui ne se garde pas,  et l’on doit sans remords jouir de ses appâts,  se servir du présent, et sans tant nous contraindre  pour l’avenir.","Et c’est ce que vous devez craindre."
"Et c’est ce que vous devez craindre.","Qui doit nous faire peur ?"
"Qui doit nous faire peur ?","Le ciel et son courroux ?"
"de ce rare pouvoir, il est bien peu jaloux,  et si nos actions lui paraissent des crimes,  pourquoi de sa fureur n’être pas les victimes ?","pourquoi ne pas troubler le cours de nos projets ?"
"pourquoi ne pas troubler le cours de nos projets ?","il tarde trop longtemps à punir nos forfaits,  non, non, ces châtiments sont de vaines chimères,  dont l’homme résolu ne s’épouvante guère,  et ce qu’il souffre en nous fait connaître en tous lieux  la faiblesse de l’homme et l’abus de tes dieux."
"il tarde trop longtemps à punir nos forfaits,  non, non, ces châtiments sont de vaines chimères,  dont l’homme résolu ne s’épouvante guère,  et ce qu’il souffre en nous fait connaître en tous lieux  la faiblesse de l’homme et l’abus de tes dieux.","Impie !"
"Ah, don juan !","Songe à te reconnaître."
"Songe à te reconnaître.","Non, non, il n’en sera que ce qu’il doit en être."
"Non, non, il n’en sera que ce qu’il doit en être.","Il faut te dire aussi quel est mon sentiment :  jamais tu ne verras en moi de changement,  et je suis si content de ma façon de vivre  que, sans aucun remords, je prétends la poursuivre."
"Il faut te dire aussi quel est mon sentiment :  jamais tu ne verras en moi de changement,  et je suis si content de ma façon de vivre  que, sans aucun remords, je prétends la poursuivre.","Tu sais déjà le mien, rien ne me changera,  et soit perte ou bonheur, arrive qui pourra."
"Va, va, nous le croirons, si tu nous le fais voir.","Malheureux, songe à toi."
"C’est trop endurer, qu’une ombre nous menace.","Oui, voyons s’il lui reste encore quelque vigueur,  et délivrons nos yeux de ce fâcheux censeur."
"Périssez, méchants, et lui servez d’exemples.","voilà de ton destin une preuve assez ample."
"voilà de ton destin une preuve assez ample.","Je suis mort."
"C’est un coup du hasard.","Pour ton propre intérêt, tu dois y prendre part."
"Va, si je dois songer à la fin de leur vie,  ce n’est que pour leur sort, qui doit me faire envie.","mourir dans les plaisirs est un destin si doux  qu’à ne rien te celer, ombre, j’en suis jaloux."
"Dispensez-moi, monsieur, d’approcher de l’esprit.","Que crains-tu donc ?"
"À votre dire,  trouvez bon que d’ici, monsieur, je me retire.","Demeure, je le veux, ou les coups de bâton."
"Où vas-tu ?","Je ne bouge."
"Hé !","Ris."
"Tu me suivras partout.","Bon ma fortune est faite  sans aller en hollande."
"Un exemple pareil devrait être capable.","Non, dans mes sentiments je suis inébranlable,  et je verrais ici tout prêt pour mon trépas,  que, malgré tes avis, je ne changerais pas."
"Où sera ce festin ?","Sur mon tombeau."
"Sur mon tombeau.","Va, va, je m’y rendrai sans faute."
"Pour moi, je ne veux point manger chez un tel hôte ;  que promettez-vous là ?","Vous tairez-vous, maraud !"
"Amène ce valet.","Voilà ce qu’il me faut !"
"Carrille, que dis-tu d’un tel événement ?","Que vous extravaguez à parler franchement,  car n’est-ce pas folie à nulle autre seconde  de chercher des moyens d’aller en l’autre monde ?"
"Puisque je l’ai donnée, il y faut satisfaire.","Songez-y mûrement ; c’est beaucoup hasarder."
"Dans cette occasion, tu manques de courage ;  laisser prendre ta femme et n’oser.","J’en enrage."
"je voudrais la sauver, mais je crains pour mon dos.","Mourons pour empêcher."
"Mais dussé-je y périr,  c’est un point résolu, je veux te secourir.","Arrêtez !"
"J’aperçois le valet de ce traître.","abordons-le et sachons où peut être son maître,  et prenant des archers que j’ai vus dans ce lieu,  nous saisirons l’infâme et nous verrons beau jeu."
"Qu’est-ce donc ?","Coquin !"
"Dis-nous, mais promptement, qu’est devenu ton maître ?","Que sais-je, moi !"
"Et ma femme de plus.","Est-ce ma faute à moi ?"
"Est-ce ma faute à moi ?","tout crime est personnel, et chacun est pour soi."
"Quoi !","Tu fais résistance ?"
"Ah, monsieur, au secours !","Quelle est cette insolence ?"
"Beau-père, sauvons-nous.","Ah, ah coquins !"
"Bon pour vous, qui n’appréhendez rien,  mais si j’eusse été pris, certaine cabriole,  m’aurait pour mon malheur fait perdre la parole,  cependant savez-vous qu’il faut partir d’ici,  que les archers y sont.","J’en ai peu de souci."
"Oui.","Comment, traître !"
"Comment, traître !","après un tel affront, tu m’oses méconnaître ?"
"Hélas !","Tu me fais rire."
"Il n’a point de mémoire et vous devez lui dire,  qu’est-ce qu’il vous a fait ?","Il m’a ravi l’honneur."
"Oui.","C’est là ce grand malheur !"
"Que je me console.","Que prétendez-vous donc ?"
"Que prétendez-vous donc ?","Va, va, c’est une folle."
"Pousse plus loin ton crime et ne m’épargne pas,  et pour finir mes maux donne-moi le trépas.","Pour si peu de sujet vouloir cesser de vivre !"
"Pour si peu de sujet vouloir cesser de vivre !","ce dessein, croyez-moi, n’est point du tout à suivre,  quoiqu’avec violence, il vous ait pris l’honneur,  la force ne fait point de tache à la pudeur,  et votre honnêteté n’en sera point perdue."
"si de votre bon gré vous vous étiez rendue,  et qu’un consentement.","Allons, carrille, allons,  et ne t’amuse point à ces réflexions."
"Allons, carrille, allons,  et ne t’amuse point à ces réflexions.","Croyez ce que je dis."
"Déplorable fille,  comment te présenter encore à ta famille ?","l’affront que tu lui fais se peut-il réparer ?"
"Pourquoi s’en étonner ?","Elle est douce, elle est bonne,  et qui veut comme moi se divertir ici,  sans rien examiner doit en user ainsi."
"Elle est douce, elle est bonne,  et qui veut comme moi se divertir ici,  sans rien examiner doit en user ainsi.","La méthode en est belle et digne qu’on l’admire !"
"aux autres : «que veux-tu ?","Je ne te connais pas, et n’ai jamais senti d’ardeur pour tes appâts."
"»  ce sont là les beaux coups de votre seigneurie ;  comment doit-on nommer tout cela, je vous prie ?","Un plaisir sans pareil."
"Ou plutôt le moyen,  si vous continuez, de faire un saut sur rien.","J'impute ce discours à ton zèle sincère,  et veux bien pour ce coup retenir ma colère :  mais sache que j'ai bien encor d'autres desseins,  où, me suivant, tu peux espérer de grands gains."
"J'impute ce discours à ton zèle sincère,  et veux bien pour ce coup retenir ma colère :  mais sache que j'ai bien encor d'autres desseins,  où, me suivant, tu peux espérer de grands gains.","De grands gains !"
"De grands gains !","À ce prix, j'ai peine à m'en défendre."
"par quels moyens encor puis-je.","Tu vas l'apprendre."
"Tu vas l'apprendre.","je veux voler."
"je veux voler.","Plaît-il ?"
"Plaît-il ?","C'est là ce grand dessein,  serviteur à la corde, et trêve à tant de gains."
"si le désir vous tient, passez-en votre envie,  j’aime mieux n’avoir rien le reste de ma vie ;  comment diable, voler !","Quel damnable désir."
"Quel damnable désir.","Oui, dès demain, je veux voler pour mon plaisir,  je m'en fais dans mon âme un charme inconcevable,  et dans la vie, il faut être de tout capable."
"Ah, quel homme !","Aussi bien dans une extrémité,  c'est un remède prompt pour la nécessité."
"il ne faut pas grand temps pour vider notre bourse,  mes biens étant saisis, quelle est notre ressource ?","mais allons voir notre ombre."
"mais allons voir notre ombre.","Et vous voulez aller  voir l'ombre ?"
"Et vous voulez aller  voir l'ombre ?","On a promis de nous y régaler."
"Mais à moins que changer votre perte est certaine,  l’ombre vous a prédit.","C'est là ce qui te gêne,  eh bien !"
"C'est là ce qui te gêne,  eh bien !","Quand d'y mourir je courrais le hasard,  c'est faire un peu plus tôt ce qu'on ferait plus tard,  puisque c'est un tribut que la nature impose."
"Quand d'y mourir je courrais le hasard,  c'est faire un peu plus tôt ce qu'on ferait plus tard,  puisque c'est un tribut que la nature impose.","le trépas en tout temps est toujours même chose,  ce passage se doit regarder sans effroi  et n'offre rien d'affreux à des gens comme moi."
"Ma foi, monsieur, pourtant, alors qu’on envisage  qu’il faille mourir, on tremble.","Oui, les gens sans courage :  mais aux coeurs dégagés de la timidité,  la mort n'a rien d'étrange en la nécessité."
"Oui, les gens sans courage :  mais aux coeurs dégagés de la timidité,  la mort n'a rien d'étrange en la nécessité.","elle n'en vient pas moins, carrille, pour la craindre ;  ainsi sur ce départ, pourquoi donc se contraindre ?"
"elle n'en vient pas moins, carrille, pour la craindre ;  ainsi sur ce départ, pourquoi donc se contraindre ?","ce terme doit s'attendre, et s'il a quelque horreur,  c'est l'accroître toujours, qu'entretenir la peur."
"ce terme doit s'attendre, et s'il a quelque horreur,  c'est l'accroître toujours, qu'entretenir la peur.","mille fameux guerriers, en exposant leur vie,  craignent-ils aux combats de se la voir ravie ?"
"mille fameux guerriers, en exposant leur vie,  craignent-ils aux combats de se la voir ravie ?","et si l'on y faisait tant de réflexions,  verrait-on mettre au jour cent belles actions ?"
"et si l'on y faisait tant de réflexions,  verrait-on mettre au jour cent belles actions ?","non, sans s'inquiéter, si notre destinée  dans les plus grands périls peut être terminée,  entrés dans la carrière, allons jusques au bout,  et laissant faire au sort, affrontons toujours tout."
"Pour moi, je ne veux point suivre cette maxime :  la vie a des douceurs pour qui j’ai de l’estime,  quoiqu’il faille mourir, le plus tard vaut le mieux.","Ô le plus grand poltron qui soit dessous les cieux !"
"Quoi !","Tu ne viendrais point voir l'ombre avecque moi ?"
"Non, s’il vous plaît, monsieur.","Mais j'ai besoin de toi."
"À cela près, monsieur, je suis prêt à tout faire","Mais quoi, pour me servir, n'es-tu pas nécessaire ?"
"Les morts vous serviront.","Et tu crois t'esquiver ?"
"Et tu crois t'esquiver ?","tu me suivras partout, quoi qu'il puisse arriver."
"Quittez, monsieur, quittez cette maudite envie,  cette témérité vous coûtera la vie.","Non, non, je l'ai promis, et je prétends le voir."
"Avez-vous de la faim ?","Je n'en saurais avoir."
"Pourquoi non ?","Le repas que l'ombre nous prépare  nous doit être à tous deux quelque chose de rare."
"Le repas que l'ombre nous prépare  nous doit être à tous deux quelque chose de rare.","Courre qui le voudra pour cette nouveauté,  car je ne vois pas lieu d'en être trop tenté."
"Serviteur !","Suis-moi donc, ou bientôt ma colère va."
"et mes gages, monsieur, quand pourrai-je les avoir ?","le coeur me dit qu'ils sont pour moi perdus ce soir."
"payez-les, sans souffrir que je sois misérable.","Tu sais bien où les prendre, et n'ai-je pas du bien ?"
"Ah !","Quand un homme est mort, on dit qu'il n'avait rien."
"tremble, ou la justice des dieux,  va te foudroyer en ces lieux.","Avec votre esprit fort, voyez où vous en êtes."
"tout ce que je vous disais n’était que des sornettes ;  vous voyez cependant quelle prédiction.","Rien ne m'étonne encore en cette occasion."
"On tremblerait à moins, et si vous vouliez croire.","Je n'en démordrai point, il y va de ma gloire ;  en quoi suis-je donc tant nécessaire à ces dieux ?"
"Je n'en démordrai point, il y va de ma gloire ;  en quoi suis-je donc tant nécessaire à ces dieux ?","ô toi !"
"ô toi !","Qui que tu sois qui me prêche pour eux,  ne t'imagine pas que je change de vie."
"De tourments infinis, tu la verras suivie.","Autre donneur d'avis."
